,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,QUALITY,type,rangeofquality
1150,3.88,0.67,3.07,1.7999999999999998,1.03,1.53,1.89,1.57,4.73,3.03,5.51,7,0,Average
1151,1.07,2.87,1.08,2.3000000000000003,0.55,0.52,2.19,1.02,5.74,3.65,7.1,7,0,Average
1152,2.4,2.2,2.59,3.4000000000000004,1.11,0.73,1.11,1.66,5.43,5.28,3.77,6,0,Average
1153,5.29,2.2,2.59,2.5,1.68,0.35,0.71,1.96,3.41,2.53,4.06,5,0,Poor
1154,5.62,1.87,3.43,2.6,1.3,0.17,0.32,1.86,3.26,2.81,4.49,7,0,Average
1155,4.13,2.47,2.59,1.2,1.11,0.38,0.35,1.62,3.8,2.98,3.19,6,0,Average
1156,3.88,1.6,2.53,2.6,1.1,0.38,0.3,1.39,3.26,2.75,5.51,7,0,Average
1157,4.3,4.7,1.45,1.7000000000000002,1.15,0.31,0.35,1.89,4.42,2.53,2.9,5,0,Poor
1158,4.3,4.7,1.45,1.7000000000000002,1.15,0.31,0.35,1.89,4.42,2.53,2.9,5,0,Poor
1159,3.88,2.4,3.01,2.0,5.98,0.49,0.74,1.78,2.25,4.94,2.03,5,0,Poor
1160,5.04,3.07,1.57,2.1,1.69,0.21,1.24,1.92,1.71,4.27,3.19,5,0,Poor
1161,3.64,1.67,2.35,2.9,1.08,0.97,0.97,1.58,4.65,3.71,6.38,7,0,Average
1162,2.23,1.73,1.63,3.4000000000000004,0.96,0.24,0.88,1.3,3.8,1.91,5.8,6,0,Average
1163,3.14,2.8,1.75,2.6,1.28,0.14,0.18,1.52,4.65,2.25,5.07,6,0,Average
1164,4.46,1.87,2.05,1.5,0.88,0.14,0.14,1.84,3.72,2.53,3.62,6,0,Average
1165,2.73,3.4,0.0,2.5,1.15,0.87,0.88,1.56,5.43,2.58,4.06,6,0,Average
1166,4.88,2.27,2.77,2.3000000000000003,1.08,0.14,0.23,1.81,4.26,2.92,6.23,6,0,Average
1167,3.14,1.87,1.87,1.7000000000000002,1.16,0.87,1.36,1.94,5.74,2.25,2.17,6,0,Average
1168,3.14,1.87,1.87,1.7000000000000002,1.16,0.87,1.36,1.94,5.74,2.25,2.17,6,0,Average
1169,2.23,3.53,0.0,2.5,1.43,1.63,1.22,1.6,6.9,2.7,5.07,6,0,Average
1170,2.23,5.33,0.18,7.7,1.16,0.76,0.94,1.66,6.67,1.57,4.64,4,0,Poor
1171,2.73,3.87,0.0,2.8000000000000003,0.71,0.17,0.12,1.17,4.88,2.47,6.81,7,0,Average
1172,1.49,5.57,0.0,2.3000000000000003,0.53,0.56,1.66,1.22,7.44,2.87,4.93,5,0,Poor
1173,3.64,1.8,1.99,2.8000000000000003,1.11,0.35,0.94,1.71,4.26,3.31,4.35,6,0,Average
1174,3.64,1.8,1.99,2.8000000000000003,1.11,0.35,0.94,1.71,4.26,3.31,4.35,6,0,Average
1175,4.96,2.07,2.59,1.6,0.98,0.14,0.12,1.48,3.64,1.35,4.93,5,0,Poor
1176,5.29,2.13,2.41,2.9,0.98,1.39,1.11,2.01,5.12,3.6,3.62,6,0,Average
1177,2.48,3.87,0.42,1.5,1.01,0.52,1.27,1.66,4.42,2.13,1.88,5,0,Poor
1178,2.4,3.73,1.39,2.3000000000000003,1.18,0.35,2.6,1.59,4.96,2.7,4.2,5,0,Poor
1179,2.64,2.33,1.81,2.1,1.26,0.17,0.76,1.22,4.73,1.35,5.65,6,0,Average
1180,2.31,4.8,0.18,11.0,1.16,0.17,0.14,1.77,6.2,1.57,6.09,5,0,Poor
1181,2.64,2.33,1.81,2.1,1.26,0.17,0.76,1.22,4.73,1.35,5.65,6,0,Average
1182,2.4,3.73,1.39,2.3000000000000003,1.18,0.35,2.6,1.59,4.96,2.7,4.2,5,0,Poor
1183,4.13,5.83,0.3,1.7999999999999998,1.1,0.14,0.3,1.74,4.5,1.24,2.32,4,0,Poor
1184,4.38,2.13,3.43,6.1,1.18,0.17,0.32,1.81,4.34,1.97,6.52,6,0,Average
1185,2.23,5.37,0.0,2.6,2.61,0.17,0.14,1.62,6.51,1.63,4.06,5,0,Poor
1186,2.81,1.13,2.23,2.9,0.9,0.35,0.81,1.4,6.2,3.26,6.38,7,0,Average
1187,2.15,5.37,0.0,2.6,2.61,0.17,0.14,1.62,6.51,1.63,4.06,5,0,Poor
1188,2.64,4.43,0.72,1.7999999999999998,1.74,0.49,1.34,1.69,3.88,2.08,2.17,6,0,Average
1189,1.98,2.33,1.33,1.7999999999999998,1.15,0.69,1.15,1.78,6.2,2.13,2.17,6,0,Average
1190,3.39,3.33,1.39,2.6,1.11,0.76,2.03,1.88,3.8,2.02,2.17,6,0,Average
1191,3.22,3.27,1.27,1.4000000000000001,1.0,0.1,0.07,1.44,3.41,1.8,2.61,6,0,Average
1192,3.22,1.2,1.57,2.1,0.71,0.62,1.64,1.54,3.33,3.2,4.2,6,0,Average
1193,3.39,3.33,1.39,2.6,1.11,0.76,2.03,1.88,3.8,2.02,2.17,6,0,Average
1194,3.22,3.27,1.27,1.4000000000000001,1.0,0.1,0.07,1.44,3.41,1.8,2.61,6,0,Average
1195,3.39,1.73,2.17,2.0,0.93,0.14,0.09,1.36,4.26,1.8,4.64,7,0,Average
1196,3.97,2.27,2.35,1.7999999999999998,0.98,0.17,0.14,1.55,4.88,2.64,5.36,8,0,Good
1197,5.04,4.4,1.14,8.0,1.69,1.11,1.61,2.25,3.26,1.85,2.03,5,0,Poor
1198,2.81,1.87,2.77,2.3000000000000003,1.08,0.8,0.88,1.59,5.27,3.54,4.35,7,0,Average
1199,2.81,1.87,2.77,2.3000000000000003,1.08,0.8,0.88,1.59,5.27,3.54,4.35,7,0,Average
1200,2.81,1.87,2.77,2.3000000000000003,1.08,0.8,0.88,1.59,5.27,3.54,4.35,7,0,Average
1201,5.04,4.27,3.31,1.7000000000000002,2.11,0.8,1.06,2.01,4.88,4.04,2.9,5,0,Poor
1202,2.81,1.87,2.77,2.3000000000000003,1.08,0.8,0.88,1.59,5.27,3.54,4.35,7,0,Average
1203,1.98,2.07,2.59,2.1,1.03,0.45,0.41,1.38,5.66,3.65,4.64,7,0,Average
1204,2.48,3.8,0.12,2.3000000000000003,1.15,0.24,0.21,1.52,4.88,2.25,3.48,6,0,Average
1205,2.31,2.4,0.9,2.3000000000000003,1.11,0.73,1.08,1.66,4.65,2.25,1.88,5,0,Poor
1206,2.48,3.8,0.12,2.3000000000000003,1.15,0.24,0.21,1.52,4.88,2.25,3.48,6,0,Average
1207,4.79,2.0,2.53,2.0,1.03,0.14,0.16,1.83,3.33,2.98,3.62,6,0,Average
1208,5.29,1.67,2.77,2.0,1.2,0.17,0.07,1.77,2.95,1.46,3.48,6,0,Average
1209,4.13,1.27,2.77,2.3000000000000003,1.43,0.66,0.53,1.5,4.19,1.91,4.78,6,0,Average
1210,3.39,3.27,1.87,2.1,1.16,0.31,1.68,1.86,4.42,2.64,2.17,6,0,Average
1211,3.64,1.73,2.23,2.0,0.8,1.46,1.57,1.34,3.95,3.31,5.8,6,0,Average
1212,3.64,2.13,1.87,2.0,1.21,0.24,0.41,1.71,4.03,2.64,3.77,6,0,Average
1213,4.3,2.07,2.41,1.1,0.58,0.83,1.01,1.48,3.72,3.43,4.2,6,0,Average
1214,5.87,1.6,3.13,1.7999999999999998,2.04,0.56,0.88,1.97,4.34,3.09,5.07,6,0,Average
1215,5.87,1.6,3.13,1.7999999999999998,2.04,0.56,0.88,1.97,4.34,3.09,5.07,6,0,Average
1216,3.55,3.0,1.33,2.5,1.15,1.11,1.91,1.86,4.19,1.35,2.32,6,0,Average
1217,5.54,1.87,2.83,2.5,1.08,0.28,0.39,1.79,3.95,3.03,5.8,6,0,Average
1218,7.27,2.07,2.95,2.9,1.18,0.24,0.32,2.33,2.71,3.37,3.33,6,0,Average
1219,4.46,2.53,1.39,3.1,1.36,0.59,1.64,2.33,3.33,1.63,2.03,5,0,Poor
1220,3.06,3.33,0.18,5.4,1.18,0.9,0.92,1.7,2.33,1.4,1.74,5,0,Poor
1221,4.3,3.33,1.51,2.1,1.58,0.24,0.35,2.04,4.26,2.81,2.32,5,0,Poor
1222,1.07,2.27,0.0,1.7999999999999998,0.58,0.59,1.89,0.86,7.44,2.87,8.12,7,0,Average
1223,3.14,2.33,1.75,2.3000000000000003,1.1,0.62,1.38,1.94,5.27,2.36,2.17,5,0,Poor
1224,3.22,0.67,2.05,3.2,0.95,0.49,1.2,1.46,5.04,3.15,5.51,6,0,Average
1225,3.31,4.9,0.06,3.1,1.08,1.63,1.94,1.75,5.12,2.25,4.06,5,0,Poor
1226,3.14,2.33,1.75,2.3000000000000003,1.1,0.62,1.38,1.94,5.27,2.36,2.17,5,0,Poor
1227,5.29,1.0,2.23,2.5,0.8,0.45,0.69,1.74,3.95,1.52,1.88,4,0,Poor
1228,2.73,4.47,0.06,2.5,0.83,0.35,0.28,1.02,5.19,1.01,6.96,6,0,Average
1229,1.82,1.67,1.93,18.9,0.75,0.17,2.47,1.66,4.5,1.91,5.07,4,0,Poor
1230,3.31,3.13,0.0,1.7000000000000002,1.01,0.21,0.25,1.83,4.19,2.36,2.03,6,0,Average
1231,2.73,4.47,0.06,2.5,0.83,0.35,0.28,1.02,5.19,1.01,6.96,6,0,Average
1232,3.55,4.33,0.0,2.9,1.2,0.38,0.41,2.1,5.12,1.35,2.32,4,0,Poor
1233,2.23,3.93,0.0,5.699999999999999,0.8,0.35,0.32,1.5,5.66,1.91,5.51,4,0,Poor
1234,3.06,3.53,1.2,1.7000000000000002,1.11,1.22,1.24,1.51,2.95,1.01,1.88,5,0,Poor
1235,4.96,1.93,2.35,2.9,1.16,0.94,1.36,1.96,3.41,2.08,2.61,5,0,Poor
1236,4.3,2.13,2.47,2.1,0.81,0.49,0.78,1.36,3.88,2.13,6.09,6,0,Average
1237,3.72,3.2,1.33,2.8000000000000003,1.21,0.31,1.84,2.16,5.04,2.25,2.17,5,0,Poor
1238,1.74,1.4,1.51,19.6,0.96,2.47,3.55,1.95,4.73,1.8,3.33,6,0,Average
1239,2.98,3.13,1.14,1.7999999999999998,1.21,0.49,0.65,1.82,5.97,2.58,3.62,5,0,Poor
1240,2.98,4.4,0.42,1.7000000000000002,1.28,0.49,0.97,1.52,3.1,1.46,2.9,5,0,Poor
1241,2.98,3.13,1.14,1.7999999999999998,1.21,0.49,0.65,1.82,5.97,2.58,3.62,5,0,Poor
1242,2.56,2.2,1.99,2.5,1.2,0.73,0.69,1.5,5.35,2.98,4.49,6,0,Average
1243,2.73,3.47,0.06,2.6,1.16,0.8,0.71,1.55,5.27,2.19,4.2,6,0,Average
1244,2.73,3.47,0.06,2.6,1.16,0.8,0.71,1.55,5.27,2.19,4.2,6,0,Average
1245,3.06,3.33,0.84,2.5,1.13,0.9,1.24,1.77,4.34,2.08,2.61,5,0,Poor
1246,2.73,4.27,0.0,1.7999999999999998,1.89,0.17,0.18,1.77,5.66,2.02,2.61,5,0,Poor
1247,3.39,3.87,0.0,1.2,1.45,0.17,0.16,1.65,5.5,2.02,2.17,5,0,Poor
1248,3.31,4.13,0.36,2.0,1.16,0.66,0.67,1.77,5.27,2.64,4.2,5,0,Poor
1249,1.9,3.73,0.12,2.8000000000000003,1.0,0.87,0.92,1.25,5.81,1.29,4.35,5,0,Poor
1250,3.06,3.4,1.33,1.7999999999999998,1.21,1.46,1.24,1.52,2.95,1.12,1.74,5,0,Poor
1251,2.64,3.33,1.69,6.4,1.26,0.38,1.45,1.78,4.65,2.7,4.35,6,0,Average
1252,2.48,3.73,0.0,3.2,1.89,0.49,0.62,1.59,5.58,2.3,4.78,6,0,Average
1253,2.48,3.73,0.0,3.2,1.89,0.49,0.62,1.59,5.58,2.3,4.78,6,0,Average
1254,3.97,3.7,4.1,1.7999999999999998,6.54,0.62,1.15,1.78,2.33,5.22,1.88,5,0,Poor
1255,2.07,6.27,0.0,2.1,1.23,0.56,0.41,1.4,6.74,1.85,4.64,4,0,Poor
1256,4.96,2.47,2.29,2.9,1.2,1.15,1.38,1.96,3.33,2.02,2.61,5,0,Poor
1257,3.64,4.67,0.0,2.5,1.33,0.42,0.46,2.06,5.04,1.35,2.32,4,0,Poor
1258,3.88,1.93,1.93,1.7999999999999998,0.95,0.87,1.04,1.44,5.12,2.81,5.51,6,0,Average
1259,2.81,3.27,0.3,2.6,1.2,0.52,0.69,1.64,5.12,2.13,3.33,6,0,Average
1260,2.81,3.27,0.3,2.6,1.2,0.52,0.69,1.64,5.12,2.13,3.33,6,0,Average
1261,5.45,2.33,3.01,2.6,0.98,0.42,0.3,1.71,2.95,3.65,4.93,6,0,Average
1262,2.56,2.2,1.87,2.1,1.16,0.69,1.04,1.84,5.81,1.85,2.17,6,0,Average
1263,1.4,2.73,0.18,1.7999999999999998,0.58,0.94,1.87,0.71,6.05,3.37,8.7,8,0,Good
1264,0.99,2.0,0.06,1.5,0.65,0.87,1.24,0.72,7.6,2.98,8.7,6,0,Average
1265,2.89,2.4,1.2,1.5,0.66,0.8,1.34,1.23,5.12,1.97,5.36,6,0,Average
1266,1.74,2.53,0.0,2.0,1.13,0.83,0.88,1.3,6.05,1.74,4.64,5,0,Poor
1267,3.06,3.33,1.2,2.1,1.06,1.15,0.88,1.51,2.95,1.18,1.88,5,0,Poor
1268,3.31,3.33,0.78,2.3000000000000003,1.54,0.56,0.69,1.41,4.03,1.74,4.64,6,0,Average
1269,3.47,4.23,1.33,2.6,1.1,0.42,1.73,1.88,4.03,1.8,2.17,6,0,Average
1270,3.88,2.13,2.41,8.7,0.68,0.07,0.09,1.65,4.34,1.91,5.8,4,0,Poor
1271,2.64,4.07,0.0,2.0,1.74,0.07,0.09,1.78,4.88,2.13,2.46,6,0,Average
1272,3.47,4.23,1.33,2.6,1.1,0.42,1.73,1.88,4.03,1.8,2.17,6,0,Average
1273,4.96,1.47,2.35,1.7000000000000002,0.88,0.07,0.07,1.48,3.26,1.97,5.07,7,0,Average
1274,2.73,2.53,1.2,2.0,1.13,0.94,1.11,1.64,5.04,2.36,3.48,6,0,Average
1275,2.73,2.53,1.2,2.0,1.13,0.94,1.11,1.64,5.04,2.36,3.48,6,0,Average
1276,3.39,4.57,0.0,2.1,1.25,0.28,0.37,1.75,4.73,2.58,4.2,6,0,Average
1277,4.05,3.67,1.69,3.2,1.45,0.56,1.45,1.97,4.19,2.3,3.19,6,0,Average
1278,2.64,2.27,1.14,2.6,1.03,0.59,0.69,1.47,5.19,1.91,4.2,5,0,Poor
1279,6.2,1.93,3.01,1.7999999999999998,1.35,0.66,0.94,1.97,3.33,1.97,3.62,5,0,Poor
1280,2.73,0.53,2.65,2.9,0.98,0.56,0.58,1.19,4.88,1.8,6.38,6,0,Average
1281,3.47,3.47,0.48,3.1,0.78,0.07,0.02,1.11,3.88,0.84,7.25,5,0,Poor
1282,2.64,3.47,1.81,6.0,0.98,0.66,2.4,2.32,4.5,5.34,3.19,5,0,Poor
1283,2.64,3.47,1.81,6.0,0.98,0.66,2.4,2.32,4.5,5.34,3.19,5,0,Poor
1284,3.14,4.4,0.0,2.0,1.51,0.17,0.14,1.56,4.96,2.08,4.35,5,0,Poor
1285,3.64,3.7,0.6,2.3000000000000003,1.06,0.83,1.24,1.79,4.42,2.98,4.2,6,0,Average
1286,1.74,2.1,0.78,2.8000000000000003,0.78,0.45,0.51,1.26,6.98,2.53,6.38,6,0,Average
1287,3.06,4.5,0.0,2.0,1.25,0.17,0.14,1.85,4.81,1.52,2.46,4,0,Poor
1288,3.64,3.7,0.6,2.3000000000000003,1.06,0.83,1.24,1.79,4.42,2.98,4.2,6,0,Average
1289,2.31,3.67,0.0,5.699999999999999,1.4,1.74,1.65,1.63,3.72,1.29,2.17,5,0,Poor
1290,2.31,3.67,0.0,5.699999999999999,1.4,1.74,1.65,1.63,3.72,1.29,2.17,5,0,Poor
1291,2.81,3.0,0.84,2.3000000000000003,0.91,0.49,0.53,1.18,4.88,2.19,5.94,6,0,Average
1292,1.57,3.47,0.0,1.2,0.9,0.35,0.28,0.93,5.66,1.91,6.09,6,0,Average
1293,3.14,10.0,0.0,2.3000000000000003,2.13,0.14,0.07,1.47,6.05,1.01,4.2,3,0,Poor
1294,1.16,3.77,0.0,2.4,1.18,0.49,0.51,1.41,8.22,2.19,6.52,6,0,Average
1295,2.4,5.2,0.42,2.1,1.51,0.66,1.18,1.71,6.82,2.92,5.36,6,0,Average
1296,4.38,1.93,1.93,2.3000000000000003,0.91,0.1,0.21,1.67,4.5,3.26,4.64,6,0,Average
1297,3.47,1.33,2.65,1.7999999999999998,1.2,0.94,1.43,1.52,4.96,2.47,4.64,5,0,Poor
1298,3.14,4.73,1.27,2.6,1.3,0.69,1.43,1.62,3.1,1.24,1.74,5,0,Poor
1299,3.06,3.53,1.57,2.0,1.06,0.8,1.89,1.74,4.5,1.74,2.61,5,0,Poor
1300,4.88,4.07,1.93,2.9,1.31,0.73,1.96,2.08,4.42,2.25,3.04,5,0,Poor
1301,2.48,4.0,0.54,5.1,0.98,0.49,0.53,1.57,5.35,1.69,4.49,4,0,Poor
1302,4.88,4.07,1.93,2.9,1.31,0.73,1.96,2.08,4.42,2.25,3.04,5,0,Poor
1303,2.64,3.6,0.6,1.2,1.03,0.9,1.31,1.71,4.34,2.19,1.74,5,0,Poor
1304,3.06,3.53,1.57,2.0,1.06,0.8,1.89,1.74,4.5,1.74,2.61,5,0,Poor
1305,2.23,2.87,0.9,3.7,0.91,0.38,0.48,1.12,4.73,2.08,6.96,6,0,Average
1306,3.47,7.33,1.27,2.0,1.23,0.45,0.81,1.58,4.81,1.4,3.62,5,0,Poor
1307,2.64,1.87,1.27,2.6,1.28,0.66,1.36,1.63,5.27,1.8,3.04,6,0,Average
1308,2.64,1.87,1.27,2.8000000000000003,1.28,0.8,1.45,1.63,5.27,1.74,3.04,6,0,Average
1309,3.06,3.67,1.63,2.1,1.23,0.56,1.96,1.74,4.19,2.02,2.61,6,0,Average
1310,1.32,4.4,0.0,0.8999999999999999,0.53,0.52,0.92,1.05,10.0,2.08,6.52,6,0,Average
1311,5.04,2.4,2.77,2.5,1.36,0.31,0.81,1.79,3.57,2.64,5.65,6,0,Average
1312,3.06,3.67,1.63,2.1,1.23,0.56,1.96,1.74,4.19,2.02,2.61,6,0,Average
1313,4.38,4.53,4.1,1.7000000000000002,6.73,0.59,1.34,1.81,1.4,6.24,1.59,6,0,Average
1314,4.88,3.87,2.05,3.1,1.41,0.38,1.89,2.09,4.19,2.47,3.04,5,0,Poor
1315,0.99,4.4,0.0,0.8999999999999999,0.53,0.52,0.92,1.05,10.0,2.08,6.52,6,0,Average
1316,4.38,1.73,2.53,1.7999999999999998,0.81,0.28,0.28,1.31,3.57,1.85,4.93,5,0,Poor
1317,4.38,1.87,2.35,1.7999999999999998,0.85,0.69,1.13,1.51,3.57,3.37,4.35,7,0,Average
1318,2.4,2.53,1.45,1.7000000000000002,1.13,0.59,0.65,1.48,5.19,2.13,3.77,6,0,Average
1319,2.4,2.53,1.45,1.7000000000000002,1.13,0.59,0.65,1.48,5.19,2.13,3.77,6,0,Average
1320,2.4,2.53,1.45,1.7000000000000002,1.13,0.59,0.65,1.48,5.19,2.13,3.77,6,0,Average
1321,2.4,2.53,1.45,1.7000000000000002,1.13,0.59,0.65,1.48,5.19,2.13,3.77,6,0,Average
1322,2.23,2.93,0.66,1.7999999999999998,1.06,0.42,0.74,1.62,4.81,1.69,1.88,5,0,Poor
1323,2.98,3.47,1.57,2.3000000000000003,1.23,0.56,1.96,1.74,4.42,1.91,2.61,6,0,Average
1324,2.98,3.47,1.57,2.3000000000000003,1.23,0.56,1.96,1.74,4.42,1.91,2.61,6,0,Average
1325,3.31,5.27,1.57,4.9,1.63,1.04,1.41,1.84,4.19,1.35,1.74,5,0,Poor
1326,3.8,2.07,0.6,1.7000000000000002,1.1,0.17,0.44,1.68,2.87,1.18,2.46,6,0,Average
1327,4.38,4.63,1.33,2.5,1.16,0.38,0.97,2.02,3.57,1.63,2.32,5,0,Poor
1328,2.81,5.03,0.0,2.1,2.61,0.1,0.12,1.73,5.19,1.69,2.9,5,0,Poor
1329,2.31,3.33,0.12,2.8000000000000003,1.0,0.62,0.78,1.3,5.12,2.47,6.67,6,0,Average
1330,1.82,2.8,0.0,1.2,0.8,0.49,0.46,1.42,4.96,1.29,2.17,5,0,Poor
1331,1.82,2.8,0.0,1.2,0.8,0.49,0.46,1.42,4.96,1.29,2.17,5,0,Poor
1332,1.82,2.8,0.0,1.2,0.8,0.49,0.46,1.42,4.96,1.29,2.17,5,0,Poor
1333,3.06,2.87,0.12,1.7000000000000002,1.25,0.42,0.58,1.59,4.96,1.8,3.62,6,0,Average
1334,3.06,2.87,0.12,1.7000000000000002,1.25,0.42,0.58,1.59,4.96,1.8,3.62,6,0,Average
1335,3.06,2.87,0.12,1.7000000000000002,1.25,0.42,0.58,1.59,4.96,1.8,3.62,6,0,Average
1336,3.14,3.07,0.12,1.7000000000000002,1.26,0.56,0.58,1.69,5.04,1.63,3.48,6,0,Average
1337,3.06,2.87,0.12,1.7000000000000002,1.25,0.42,0.58,1.59,4.96,1.8,3.62,6,0,Average
1338,6.36,2.27,2.89,3.1,1.13,0.24,0.32,2.2,2.87,1.74,4.35,5,0,Poor
1339,3.64,2.4,1.45,2.6,0.9,0.31,0.51,1.74,4.11,1.74,3.19,6,0,Average
1340,1.9,3.4,0.06,2.3000000000000003,0.78,0.14,0.16,1.47,6.2,1.91,4.93,5,0,Poor
1341,2.81,3.83,0.18,1.7999999999999998,1.15,0.21,0.14,1.69,4.81,0.96,2.17,5,0,Poor
1342,2.81,3.83,0.18,1.7999999999999998,1.15,0.21,0.14,1.69,4.81,0.96,2.17,5,0,Poor
1343,2.56,3.27,0.0,3.4000000000000004,1.2,0.69,0.81,1.56,5.35,1.69,4.06,5,0,Poor
1344,4.3,3.47,1.75,2.1,1.0,1.08,1.54,1.82,4.81,1.97,2.9,5,0,Poor
1345,2.81,3.6,0.06,2.6,0.93,0.24,0.92,1.2,4.65,1.63,5.51,6,0,Average
1346,3.14,3.77,0.18,2.0,1.28,0.45,1.18,1.89,5.04,1.35,3.33,5,0,Poor
1347,3.14,3.77,0.18,2.0,1.28,0.45,1.18,1.89,5.04,1.35,3.33,5,0,Poor
1348,2.81,3.33,0.18,2.6,1.13,0.21,0.51,1.65,4.88,1.69,2.9,5,0,Poor
1349,1.9,1.6,1.51,1.7999999999999998,1.28,0.14,0.6,1.45,4.96,1.24,3.04,5,0,Poor
1350,1.9,1.73,1.51,1.7999999999999998,1.25,0.1,0.51,1.45,4.96,1.24,3.04,5,0,Poor
1351,2.89,2.33,1.45,2.9,1.15,0.9,1.41,1.81,6.82,2.08,4.49,6,0,Average
1352,2.98,3.73,1.02,7.4,2.64,1.77,2.12,1.98,4.34,1.57,2.17,5,0,Poor
1353,6.45,2.63,2.41,1.2,1.36,0.17,0.51,1.91,2.71,2.42,2.95,6,0,Average
1354,4.46,3.07,1.87,2.6,1.71,0.35,0.74,1.9,4.03,1.91,4.2,5,0,Poor
1355,3.72,5.13,0.84,2.9,1.4,0.42,1.11,1.95,4.96,1.8,3.04,5,0,Poor
1356,6.45,2.63,2.41,1.2,1.36,0.17,0.51,1.91,2.71,2.42,2.95,6,0,Average
1357,3.47,5.0,1.63,2.1,1.18,0.35,1.31,1.81,4.42,1.46,2.61,4,0,Poor
1358,2.81,3.5,0.12,2.0,1.45,0.31,0.58,1.52,5.74,1.74,5.51,6,0,Average
1359,3.31,2.8,0.54,2.5,1.76,0.31,0.83,1.93,3.57,2.25,2.17,5,0,Poor
1360,2.89,4.4,0.48,1.7000000000000002,1.41,0.31,0.9,1.67,4.03,1.57,2.61,5,0,Poor
1361,2.56,3.07,1.81,2.5,1.31,0.28,2.28,1.95,4.11,5.39,3.62,6,0,Average
1362,3.47,4.6,1.93,2.3000000000000003,1.16,0.52,1.57,1.82,4.26,1.57,2.61,6,0,Average
1363,2.31,3.53,0.0,1.5,1.0,0.1,0.05,1.32,4.73,0.84,3.48,4,0,Poor
1364,4.05,4.67,3.07,1.7000000000000002,6.74,0.38,1.38,1.76,2.17,5.34,1.74,5,0,Poor
1365,3.06,3.33,3.37,3.8,2.39,0.14,0.18,1.47,3.8,4.55,5.22,6,0,Average
1366,4.05,4.67,3.07,1.7000000000000002,6.74,0.38,1.38,1.76,2.17,5.34,1.74,5,0,Poor
1367,3.22,4.47,1.63,4.9,1.68,1.15,1.91,1.84,4.03,1.29,1.88,5,0,Poor
1368,2.48,4.9,0.0,0.8999999999999999,4.29,0.52,0.53,1.47,4.65,1.63,2.61,3,0,Poor
1369,2.81,3.2,1.57,2.1,1.23,0.42,2.17,1.69,4.19,1.69,2.75,5,0,Poor
1370,3.64,5.37,1.2,1.2,1.28,0.21,0.58,1.44,3.02,1.35,2.9,5,0,Poor
1371,1.16,2.73,1.57,2.6,1.35,0.76,1.57,1.58,7.67,2.25,6.09,6,0,Average
1372,2.81,2.47,0.9,2.1,1.15,0.31,0.51,1.73,4.42,1.63,2.75,6,0,Average
1373,3.06,3.27,0.12,3.1,1.13,0.35,0.67,1.63,4.96,2.25,4.06,6,0,Average
1374,3.06,3.27,0.12,3.1,1.13,0.35,0.67,1.63,4.96,2.25,4.06,6,0,Average
1375,2.48,5.0,0.54,1.7999999999999998,1.08,0.1,0.44,1.59,5.12,1.29,2.32,5,0,Poor
1376,3.47,3.47,1.33,2.3000000000000003,1.18,0.83,2.28,1.74,4.5,1.52,2.75,5,0,Poor
1377,3.47,3.47,1.33,2.3000000000000003,1.18,0.83,2.28,1.74,4.5,1.52,2.75,5,0,Poor
1378,2.73,4.5,0.9,1.7999999999999998,1.63,0.66,1.8,1.7,3.64,1.57,2.17,5,0,Poor
1379,3.47,4.87,1.51,4.3,1.11,1.15,1.82,1.84,3.64,1.12,1.74,5,0,Poor
1380,2.98,3.73,0.42,1.7999999999999998,1.51,0.24,0.39,1.73,4.5,2.02,2.32,5,0,Poor
1381,2.98,3.73,0.42,1.7999999999999998,1.51,0.24,0.39,1.73,4.5,2.02,2.32,5,0,Poor
1382,2.31,3.73,1.87,8.4,1.23,0.21,0.99,1.94,4.88,2.58,3.33,5,0,Poor
1383,2.4,2.67,0.12,2.5,1.18,1.22,2.42,1.57,2.95,1.74,2.46,5,0,Poor
1384,1.82,2.73,0.0,2.6,0.98,0.49,0.62,1.12,6.67,2.08,6.52,6,0,Average
1385,3.47,3.73,1.33,2.8000000000000003,1.41,0.14,0.62,1.74,5.04,2.02,4.35,5,0,Poor
1386,2.73,3.6,0.36,1.1,1.01,0.14,0.14,1.37,3.49,1.46,2.61,5,0,Poor
1387,3.47,2.93,1.51,2.1,1.15,0.62,1.22,1.74,4.5,1.46,3.19,5,0,Poor
1388,2.15,3.27,0.84,5.1,1.01,0.9,1.54,1.85,4.65,1.46,1.74,5,0,Poor
1389,3.97,4.03,0.6,1.5,1.38,0.07,0.14,1.99,4.57,2.42,2.25,6,0,Average
1390,4.05,3.97,0.6,1.5,1.35,0.1,0.12,1.99,4.57,2.42,2.25,5,0,Poor
1391,2.89,3.4,1.57,2.1,1.18,0.56,2.26,1.68,4.34,1.69,2.75,5,0,Poor
1392,2.64,3.47,0.72,2.5,1.23,0.42,0.51,1.83,6.2,2.25,3.19,7,0,Average
1393,2.81,3.93,0.0,2.5,0.98,0.31,0.41,1.64,5.43,2.81,4.49,6,0,Average
1394,3.39,4.07,1.27,2.3000000000000003,1.18,1.11,3.11,1.75,4.11,1.63,2.75,5,0,Poor
1395,3.39,4.07,1.27,2.3000000000000003,1.18,1.11,3.11,1.75,4.11,1.63,2.75,5,0,Poor
